phase,source_file,record_number,event_id,provider,channel,computer,utc_system_time,local_time,level,task,opcode,keywords,RuleName,UtcTime,ProcessGuid,ProcessId,Image,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,User,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentImage,ParentCommandLine,ParentUser,Protocol,Initiated,SourceIp,SourceHostname,SourcePort,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName,QueryName,QueryStatus,QueryResults,TargetObject,Details,NewName,TargetFilename,CreationUtcTime,DestinationIsIpv6,ImageLoaded,Signature,SignatureStatus,Signed,SourceIsIpv6,SourcePortName
fase3_normal,fase3_sysmon_normal.evtx,146,11,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:56:51.170561+00:00,2026-06-30 17:56:51.170+02:00,4,11,0,0x8000000000000000,-,2026-06-30 15:56:51.168,{55857b6a-e4b8-6a43-1004-000000000b00},12964,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,C:\TFM_Triage\reports\count_powershell_fase3.txt,2026-06-30 15:56:51.168,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,147,11,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:56:58.275093+00:00,2026-06-30 17:56:58.275+02:00,4,11,0,0x8000000000000000,-,2026-06-30 15:56:58.273,{55857b6a-e4b8-6a43-1004-000000000b00},12964,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,C:\TFM_Triage\reports\count_security_fase3.txt,2026-06-30 15:56:58.273,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,148,5,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:57:14.903896+00:00,2026-06-30 17:57:14.903+02:00,4,5,0,0x8000000000000000,-,2026-06-30 15:57:14.903,{55857b6a-e4c6-6a43-1204-000000000b00},13796,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,149,5,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:57:28.516867+00:00,2026-06-30 17:57:28.516+02:00,4,5,0,0x8000000000000000,-,2026-06-30 15:57:28.516,{55857b6a-e6f4-6a43-5404-000000000b00},5512,C:\Windows\System32\wbem\WmiPrvSE.exe,,,,,,,,NT AUTHORITY\SERVICIO LOCAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,150,5,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:57:28.517212+00:00,2026-06-30 17:57:28.517+02:00,4,5,0,0x8000000000000000,-,2026-06-30 15:57:28.516,{55857b6a-e6c8-6a43-4d04-000000000b00},13440,C:\Windows\System32\wbem\WmiPrvSE.exe,,,,,,,,NT AUTHORITY\Servicio de red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,151,11,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:58:56.425333+00:00,2026-06-30 17:58:56.425+02:00,4,11,0,0x8000000000000000,-,2026-06-30 15:58:56.424,{55857b6a-e4b8-6a43-1004-000000000b00},12964,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,C:\TFM_Triage\reports\count_system_fase3.txt,2026-06-30 15:58:56.424,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,152,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:58:57.608896+00:00,2026-06-30 17:58:57.608+02:00,4,3,0,0x8000000000000000,-,2026-06-30 15:58:33.685,{55857b6a-a217-6a43-4300-000000000b00},3296,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpDefenderCoreService.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,tcp,True,10.0.2.15,labwin.XCORP.almendralejo.es,59806,52.123.224.130,-,443,https,,,,,,,,,False,,,,,False,-
fase3_normal,fase3_sysmon_normal.evtx,153,11,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:59:09.075882+00:00,2026-06-30 17:59:09.075+02:00,4,11,0,0x8000000000000000,-,2026-06-30 15:59:09.075,{55857b6a-e4b8-6a43-1004-000000000b00},12964,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,C:\TFM_Triage\reports\sample_sysmon_events_fase3.txt,2026-06-30 15:59:09.074,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,154,11,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:59:15.010597+00:00,2026-06-30 17:59:15.010+02:00,4,11,0,0x8000000000000000,-,2026-06-30 15:59:15.010,{55857b6a-e4b8-6a43-1004-000000000b00},12964,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,C:\TFM_Triage\reports\sample_powershell_events_fase3.txt,2026-06-30 15:59:15.008,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,155,11,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:59:21.979790+00:00,2026-06-30 17:59:21.979+02:00,4,11,0,0x8000000000000000,-,2026-06-30 15:59:21.978,{55857b6a-e4b8-6a43-1004-000000000b00},12964,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,C:\TFM_Triage\reports\sample_security_events_fase3.txt,2026-06-30 15:59:21.978,,,,,,,
