k,baseline_precision,baseline_recall,ml_precision,ml_recall
5,0.4,0.14285714285714285,0.2,0.07142857142857142
10,0.5,0.35714285714285715,0.1,0.07142857142857142
15,0.5333333333333333,0.5714285714285714,0.13333333333333333,0.14285714285714285
20,0.6,0.8571428571428571,0.1,0.14285714285714285
