rank,baseline_score,risk_level,label,scenario_ids,process_name,image,command_line,parent_image,user,event_count,main_reasons,process_key,process_guid,process_id,parent_name,phase,first_seen,last_seen,unique_event_ids,event_id_1_process_create,event_id_3_network,event_id_5_process_terminate,event_id_7_image_load,event_id_11_file_create,event_id_12_registry_create,event_id_13_registry_set,event_id_14_registry_rename,event_id_22_dns,has_network_connection,network_connection_count,dns_query_count,file_creation_count,registry_event_count,destination_ip_count,external_destination_count,runs_from_temp,runs_from_user_profile,has_powershell,has_encoded_command,has_registry_run,has_scheduled_task,has_service_creation,has_startup_folder,is_lolbin,rare_parent_child,commandline_length_max,suspicious_keyword_count
66,10,informativo,normal,N5,svchost.exe,C:\Windows\System32\svchost.exe,,,NT AUTHORITY\Servicio de red,20,+10 conexión de red asociada al proceso,guid:{55857b6a-a216-6a43-2d00-000000000b00},{55857b6a-a216-6a43-2d00-000000000b00},2272,,fase3_normal,2026-06-30 17:54:02.974+02:00,2026-06-30 17:55:34.959+02:00,1,0,20,0,0,0,0,0,0,0,1,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
67,10,informativo,background,S2,conhost.exe,C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\sc.exe,NT AUTHORITY\SYSTEM,2,+6 relación padre-hijo poco frecuente en el dataset; +4 palabras clave de interés forense,guid:{55857b6a-c2c5-6a44-4101-000000000c00},{55857b6a-c2c5-6a44-4101-000000000c00},8912,sc.exe,fase4_suspicious_simulated,2026-07-01 09:33:25.341+02:00,2026-07-01 09:33:25.383+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,1
68,10,informativo,normal,N1,notepad.exe,C:\Program Files\WindowsApps\microsoft.windowsnotepad_11.2510.14.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe,"""C:\WINDOWS\system32\notepad.exe"" ",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,2,+6 relación padre-hijo poco frecuente en el dataset; +4 palabras clave de interés forense,guid:{55857b6a-e67f-6a43-4004-000000000b00},{55857b6a-e67f-6a43-4004-000000000b00},4072,powershell.exe,fase3_normal,2026-06-30 17:53:35.111+02:00,2026-06-30 17:53:38.910+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,34,1
69,10,informativo,normal,N1,calc.exe,C:\Windows\System32\calc.exe,"""C:\WINDOWS\system32\calc.exe"" ",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,2,+6 relación padre-hijo poco frecuente en el dataset; +4 palabras clave de interés forense,guid:{55857b6a-e684-6a43-4204-000000000b00},{55857b6a-e684-6a43-4204-000000000b00},1504,powershell.exe,fase3_normal,2026-06-30 17:53:40.173+02:00,2026-06-30 17:53:40.467+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,31,1
70,10,informativo,normal,N1,explorer.exe,C:\Windows\explorer.exe,"""C:\WINDOWS\explorer.exe"" ",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,2,+6 relación padre-hijo poco frecuente en el dataset; +4 palabras clave de interés forense,guid:{55857b6a-e689-6a43-4604-000000000b00},{55857b6a-e689-6a43-4604-000000000b00},10752,powershell.exe,fase3_normal,2026-06-30 17:53:45.217+02:00,2026-06-30 17:53:45.273+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,26,1
71,10,informativo,normal,N3,whoami.exe,C:\Windows\System32\whoami.exe,whoami,C:\Windows\System32\cmd.exe,labwin\jjstestal,2,+6 relación padre-hijo poco frecuente en el dataset; +4 palabras clave de interés forense,guid:{55857b6a-e6c8-6a43-4804-000000000b00},{55857b6a-e6c8-6a43-4804-000000000b00},13356,cmd.exe,fase3_normal,2026-06-30 17:54:48.823+02:00,2026-06-30 17:54:48.831+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
72,10,informativo,normal,N3,ipconfig.exe,C:\Windows\System32\ipconfig.exe,ipconfig  /all,C:\Windows\System32\cmd.exe,labwin\jjstestal,2,+6 relación padre-hijo poco frecuente en el dataset; +4 palabras clave de interés forense,guid:{55857b6a-e6c8-6a43-4a04-000000000b00},{55857b6a-e6c8-6a43-4a04-000000000b00},13032,cmd.exe,fase3_normal,2026-06-30 17:54:48.859+02:00,2026-06-30 17:54:48.873+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1
73,10,informativo,normal,N3,tasklist.exe,C:\Windows\System32\tasklist.exe,tasklist,C:\Windows\System32\cmd.exe,labwin\jjstestal,2,+6 relación padre-hijo poco frecuente en el dataset; +4 palabras clave de interés forense,guid:{55857b6a-e6c8-6a43-4c04-000000000b00},{55857b6a-e6c8-6a43-4c04-000000000b00},12748,cmd.exe,fase3_normal,2026-06-30 17:54:48.901+02:00,2026-06-30 17:54:49.012+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
74,9,informativo,background,,widgetboard.exe,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy\WidgetBoard.exe,,,labwin\jjstestal,6,+4 palabras clave de interés forense; +5 múltiples creaciones de fichero,guid:{55857b6a-c0f9-6a44-7d00-000000000c00},{55857b6a-c0f9-6a44-7d00-000000000c00},5856,,fase4_suspicious_simulated,2026-07-01 09:32:48.423+02:00,2026-07-01 09:32:48.434+02:00,1,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,9,informativo,background,,widgetservice.exe,C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.15.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe,,,labwin\jjstestal,34,+4 palabras clave de interés forense; +5 múltiples creaciones de fichero,guid:{55857b6a-c0f9-6a44-8200-000000000c00},{55857b6a-c0f9-6a44-8200-000000000c00},6232,,fase4_suspicious_simulated,2026-07-01 09:32:48.374+02:00,2026-07-01 09:32:48.477+02:00,1,0,0,0,0,34,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,9,informativo,background,,explorer.exe,C:\WINDOWS\Explorer.EXE,,,labwin\jjstestal,16,+4 palabras clave de interés forense; +5 múltiples creaciones de fichero,guid:{55857b6a-c0f8-6a44-7200-000000000c00},{55857b6a-c0f8-6a44-7200-000000000c00},4596,,fase4_suspicious_simulated,2026-07-01 09:36:19.545+02:00,2026-07-01 09:41:05.800+02:00,1,0,0,0,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,9,informativo,background,,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe,,,labwin\jjstestal,16,+4 palabras clave de interés forense; +5 múltiples creaciones de fichero,guid:{55857b6a-c0fb-6a44-8600-000000000c00},{55857b6a-c0fb-6a44-8600-000000000c00},6644,,fase4_suspicious_simulated,2026-07-01 09:36:07.498+02:00,2026-07-01 09:39:11.532+02:00,1,0,0,0,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,6,informativo,background,S2,uieorchestratorstub.exe,C:\Windows\System32\UIEOrchestratorStub.exe,"""C:\WINDOWS\system32\UIEOrchestratorStub.exe"" /SendHeartbeat",-,NT AUTHORITY\SYSTEM,2,+6 relación padre-hijo poco frecuente en el dataset,guid:{55857b6a-c2c5-6a44-3b01-000000000c00},{55857b6a-c2c5-6a44-3b01-000000000c00},7612,-,fase4_suspicious_simulated,2026-07-01 09:33:25.323+02:00,2026-07-01 09:33:25.964+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0
79,6,informativo,background,S2,wsqmcons.exe,C:\Windows\System32\wsqmcons.exe,"""C:\WINDOWS\System32\wsqmcons.exe""",-,NT AUTHORITY\SYSTEM,2,+6 relación padre-hijo poco frecuente en el dataset,guid:{55857b6a-c2c5-6a44-3d01-000000000c00},{55857b6a-c2c5-6a44-3d01-000000000c00},6096,-,fase4_suspicious_simulated,2026-07-01 09:33:25.327+02:00,2026-07-01 09:33:25.334+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0
80,6,informativo,background,S2,microsoft.data.usageandqualityinsights.maintenancetask.exe,C:\Windows\System32\Microsoft.Data.UsageAndQualityInsights.MaintenanceTask.exe,"""C:\WINDOWS\System32\Microsoft.Data.UsageAndQualityInsights.MaintenanceTask.exe""",-,NT AUTHORITY\SYSTEM,2,+6 relación padre-hijo poco frecuente en el dataset,guid:{55857b6a-c2c5-6a44-3e01-000000000c00},{55857b6a-c2c5-6a44-3e01-000000000c00},6052,-,fase4_suspicious_simulated,2026-07-01 09:33:25.328+02:00,2026-07-01 09:33:25.340+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,0
81,6,informativo,background,S2,uieorchestrator.exe,C:\Windows\UUS\amd64\UIEOrchestrator.exe,/SendHeartbeat,C:\Windows\System32\UIEOrchestratorStub.exe,NT AUTHORITY\SYSTEM,2,+6 relación padre-hijo poco frecuente en el dataset,guid:{55857b6a-c2c5-6a44-4301-000000000c00},{55857b6a-c2c5-6a44-4301-000000000c00},6852,uieorchestratorstub.exe,fase4_suspicious_simulated,2026-07-01 09:33:25.347+02:00,2026-07-01 09:33:25.962+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
82,6,informativo,background,S2,monotificationux.exe,C:\Windows\UUS\amd64\MoNotificationUx.exe,C:\WINDOWS\uus\AMD64\MoNotificationUx.exe /ClearActiveNotifications /CV XieKT2R3lUGGuSGJ.1.0.0,C:\Windows\UUS\amd64\MoUsoCoreWorker.exe,labwin\jjstestal,2,+6 relación padre-hijo poco frecuente en el dataset,guid:{55857b6a-c2c6-6a44-4e01-000000000c00},{55857b6a-c2c6-6a44-4e01-000000000c00},13144,mousocoreworker.exe,fase4_suspicious_simulated,2026-07-01 09:33:26.063+02:00,2026-07-01 09:33:26.110+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,0
83,6,informativo,background,,am_delta_patch_1.453.359.0.exe,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.453.359.0.exe,"""C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.453.359.0.exe"" WD /q",C:\Windows\UUS\amd64\wuaucltcore.exe,NT AUTHORITY\SYSTEM,2,+6 relación padre-hijo poco frecuente en el dataset,guid:{55857b6a-c35f-6a44-7a01-000000000c00},{55857b6a-c35f-6a44-7a01-000000000c00},1356,wuaucltcore.exe,fase4_suspicious_simulated,2026-07-01 09:35:59.769+02:00,2026-07-01 09:36:05.056+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87,0
84,6,informativo,background,,dllhost.exe,C:\Windows\System32\dllhost.exe,C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},-,labwin\jjstestal,2,+6 relación padre-hijo poco frecuente en el dataset,guid:{55857b6a-c3a8-6a44-8201-000000000c00},{55857b6a-c3a8-6a44-8201-000000000c00},6756,-,fase4_suspicious_simulated,2026-07-01 09:37:12.947+02:00,2026-07-01 09:37:18.001+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,0
85,6,informativo,normal,N1,dllhost.exe,C:\Windows\System32\dllhost.exe,C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},C:\Windows\System32\svchost.exe,labwin\jjstestal,2,+6 relación padre-hijo poco frecuente en el dataset,guid:{55857b6a-e684-6a43-4404-000000000b00},{55857b6a-e684-6a43-4404-000000000b00},2128,svchost.exe,fase3_normal,2026-06-30 17:53:40.294+02:00,2026-06-30 17:53:51.105+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,0
86,6,informativo,background,S2,audiodg.exe,C:\Windows\System32\audiodg.exe,,,NT AUTHORITY\SERVICIO LOCAL,1,+6 relación padre-hijo poco frecuente en el dataset,guid:{55857b6a-c0f6-6a44-3800-000000000c00},{55857b6a-c0f6-6a44-3800-000000000c00},2940,,fase4_suspicious_simulated,2026-07-01 09:33:27.037+02:00,2026-07-01 09:33:27.037+02:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,6,informativo,background,,applicationframehost.exe,C:\Windows\System32\ApplicationFrameHost.exe,C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding,-,labwin\jjstestal,1,+6 relación padre-hijo poco frecuente en el dataset,guid:{55857b6a-c301-6a44-5f01-000000000c00},{55857b6a-c301-6a44-5f01-000000000c00},15868,-,fase4_suspicious_simulated,2026-07-01 09:34:25.545+02:00,2026-07-01 09:34:25.545+02:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0
88,5,informativo,background,S2,tiworker.exe,C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.26100.8648_none_a50ef8e3775e8e5e\TiWorker.exe,C:\WINDOWS\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.26100.8648_none_a50ef8e3775e8e5e\TiWorker.exe -Embedding,-,NT AUTHORITY\SYSTEM,2,+5 línea de comandos larga,guid:{55857b6a-c2c8-6a44-5601-000000000c00},{55857b6a-c2c8-6a44-5601-000000000c00},856,-,fase4_suspicious_simulated,2026-07-01 09:33:28.623+02:00,2026-07-01 09:35:31.092+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0
89,5,informativo,background,,mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpCmdRun.exe,"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpCmdRun.exe"" SignatureUpdate -ScheduleJob -RestrictPrivileges",-,NT AUTHORITY\SYSTEM,2,+5 línea de comandos larga,guid:{55857b6a-c354-6a44-6901-000000000c00},{55857b6a-c354-6a44-6901-000000000c00},1064,-,fase4_suspicious_simulated,2026-07-01 09:35:48.883+02:00,2026-07-01 09:36:05.092+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0
90,5,informativo,background,,mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpCmdRun.exe,"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpCmdRun.exe"" SignaturesUpdateService -ScheduleJob -UnmanagedUpdate",-,NT AUTHORITY\SYSTEM,2,+5 línea de comandos larga,guid:{55857b6a-c354-6a44-6b01-000000000c00},{55857b6a-c354-6a44-6b01-000000000c00},12632,-,fase4_suspicious_simulated,2026-07-01 09:35:48.930+02:00,2026-07-01 09:36:05.077+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0
91,5,informativo,background,,securityhealthhost.exe,C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe,\\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe {08728914-3F57-4D52-9E31-49DAECA5A80A} -Embedding,-,labwin\jjstestal,2,+5 línea de comandos larga,guid:{55857b6a-c35a-6a44-6f01-000000000c00},{55857b6a-c35a-6a44-6f01-000000000c00},11648,-,fase4_suspicious_simulated,2026-07-01 09:35:54.059+02:00,2026-07-01 09:35:54.087+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0
92,5,informativo,background,,securityhealthhost.exe,C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe,\\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe {08728914-3F57-4D52-9E31-49DAECA5A80A} -Embedding,-,labwin\jjstestal,2,+5 línea de comandos larga,guid:{55857b6a-c35a-6a44-7001-000000000c00},{55857b6a-c35a-6a44-7001-000000000c00},9088,-,fase4_suspicious_simulated,2026-07-01 09:35:54.088+02:00,2026-07-01 09:35:54.106+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0
93,5,informativo,background,,plugin_host-3.3.exe,C:\Program Files\Sublime Text\plugin_host-3.3.exe,"""/C/Program Files/Sublime Text/plugin_host-3.3.exe"" 5380 ""/C/Program Files/Sublime Text/sublime_text.exe"" \\.\pipe\crashpad_5380_WSDLNIRFOUSNKTFP ""/C/Users/jjstestal/AppData/Roaming/Sublime Text"" ""/C/Users/jjstestal/AppData/Local/Sublime Text"" ""/C/Program Files/Sublime Text/Packages""",C:\Program Files\Sublime Text\sublime_text.exe,labwin\jjstestal,2,+5 línea de comandos larga,guid:{55857b6a-c35d-6a44-7501-000000000c00},{55857b6a-c35d-6a44-7501-000000000c00},7268,sublime_text.exe,fase4_suspicious_simulated,2026-07-01 09:35:57.949+02:00,2026-07-01 09:37:39.670+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0
94,5,informativo,background,,plugin_host-3.8.exe,C:\Program Files\Sublime Text\plugin_host-3.8.exe,"""/C/Program Files/Sublime Text/plugin_host-3.8.exe"" 5380 ""/C/Program Files/Sublime Text/sublime_text.exe"" \\.\pipe\crashpad_5380_WSDLNIRFOUSNKTFP false ""/C/Users/jjstestal/AppData/Roaming/Sublime Text"" ""/C/Users/jjstestal/AppData/Local/Sublime Text"" ""/C/Program Files/Sublime Text/Packages""",C:\Program Files\Sublime Text\sublime_text.exe,labwin\jjstestal,2,+5 línea de comandos larga,guid:{55857b6a-c35d-6a44-7601-000000000c00},{55857b6a-c35d-6a44-7601-000000000c00},9108,sublime_text.exe,fase4_suspicious_simulated,2026-07-01 09:35:57.951+02:00,2026-07-01 09:37:39.671+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0
95,5,informativo,background,,tiworker.exe,C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.26100.8648_none_a50ef8e3775e8e5e\TiWorker.exe,C:\WINDOWS\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.26100.8648_none_a50ef8e3775e8e5e\TiWorker.exe -Embedding,-,NT AUTHORITY\SYSTEM,2,+5 línea de comandos larga,guid:{55857b6a-c47e-6a44-9d01-000000000c00},{55857b6a-c47e-6a44-9d01-000000000c00},12932,-,fase4_suspicious_simulated,2026-07-01 09:40:46.077+02:00,2026-07-01 09:42:47.699+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0
96,5,informativo,background,,plugin_host-3.3.exe,C:\Program Files\Sublime Text\plugin_host-3.3.exe,"""/C/Program Files/Sublime Text/plugin_host-3.3.exe"" 10320 ""/C/Program Files/Sublime Text/sublime_text.exe"" \\.\pipe\crashpad_10320_POIAYICSQZQSKOIJ ""/C/Users/jjstestal/AppData/Roaming/Sublime Text"" ""/C/Users/jjstestal/AppData/Local/Sublime Text"" ""/C/Program Files/Sublime Text/Packages""",C:\Program Files\Sublime Text\sublime_text.exe,labwin\jjstestal,1,+5 línea de comandos larga,guid:{55857b6a-c3fd-6a44-8901-000000000c00},{55857b6a-c3fd-6a44-8901-000000000c00},13596,sublime_text.exe,fase4_suspicious_simulated,2026-07-01 09:38:37.523+02:00,2026-07-01 09:38:37.523+02:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0
97,5,informativo,background,,plugin_host-3.8.exe,C:\Program Files\Sublime Text\plugin_host-3.8.exe,"""/C/Program Files/Sublime Text/plugin_host-3.8.exe"" 10320 ""/C/Program Files/Sublime Text/sublime_text.exe"" \\.\pipe\crashpad_10320_POIAYICSQZQSKOIJ false ""/C/Users/jjstestal/AppData/Roaming/Sublime Text"" ""/C/Users/jjstestal/AppData/Local/Sublime Text"" ""/C/Program Files/Sublime Text/Packages""",C:\Program Files\Sublime Text\sublime_text.exe,labwin\jjstestal,1,+5 línea de comandos larga,guid:{55857b6a-c3fd-6a44-8a01-000000000c00},{55857b6a-c3fd-6a44-8a01-000000000c00},11792,sublime_text.exe,fase4_suspicious_simulated,2026-07-01 09:38:37.566+02:00,2026-07-01 09:38:37.566+02:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0
98,4,informativo,background,,sublime_text.exe,C:\Program Files\Sublime Text\sublime_text.exe,"""C:\Program Files\Sublime Text\sublime_text.exe"" ",C:\Windows\explorer.exe,labwin\jjstestal,5,+4 palabras clave de interés forense,guid:{55857b6a-c35d-6a44-7301-000000000c00},{55857b6a-c35d-6a44-7301-000000000c00},5380,explorer.exe,fase4_suspicious_simulated,2026-07-01 09:35:57.630+02:00,2026-07-01 09:37:39.732+02:00,4,1,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1
99,4,informativo,background,,snippingtool.exe,C:\Program Files\WindowsApps\microsoft.screensketch_11.2510.31.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe,"""C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2510.31.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe"" ",C:\Windows\explorer.exe,labwin\jjstestal,5,+4 palabras clave de interés forense,guid:{55857b6a-c379-6a44-7c01-000000000c00},{55857b6a-c379-6a44-7c01-000000000c00},15852,explorer.exe,fase4_suspicious_simulated,2026-07-01 09:36:25.437+02:00,2026-07-01 09:37:46.614+02:00,3,1,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,116,1
100,4,informativo,background,,pickerhost.exe,C:\Windows\System32\PickerHost.exe,C:\Windows\System32\PickerHost.exe -Embedding,-,labwin\jjstestal,5,+4 palabras clave de interés forense,guid:{55857b6a-c3a8-6a44-8101-000000000c00},{55857b6a-c3a8-6a44-8101-000000000c00},1196,-,fase4_suspicious_simulated,2026-07-01 09:37:12.734+02:00,2026-07-01 09:37:23.915+02:00,4,1,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1
101,4,informativo,background,,snippingtool.exe,C:\Program Files\WindowsApps\microsoft.screensketch_11.2510.31.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe,"""C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2510.31.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe"" ",C:\Windows\explorer.exe,labwin\jjstestal,5,+4 palabras clave de interés forense,guid:{55857b6a-c412-6a44-8b01-000000000c00},{55857b6a-c412-6a44-8b01-000000000c00},3068,explorer.exe,fase4_suspicious_simulated,2026-07-01 09:38:58.531+02:00,2026-07-01 09:41:05.818+02:00,2,1,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,116,1
102,4,informativo,background,,pickerhost.exe,C:\Windows\System32\PickerHost.exe,C:\Windows\System32\PickerHost.exe -Embedding,-,labwin\jjstestal,5,+4 palabras clave de interés forense,guid:{55857b6a-c41f-6a44-8d01-000000000c00},{55857b6a-c41f-6a44-8d01-000000000c00},14880,-,fase4_suspicious_simulated,2026-07-01 09:39:11.815+02:00,2026-07-01 09:39:23.334+02:00,4,1,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1
103,4,informativo,background,,pickerhost.exe,C:\Windows\System32\PickerHost.exe,C:\Windows\System32\PickerHost.exe -Embedding,-,labwin\jjstestal,5,+4 palabras clave de interés forense,guid:{55857b6a-c488-6a44-9f01-000000000c00},{55857b6a-c488-6a44-9f01-000000000c00},14040,-,fase4_suspicious_simulated,2026-07-01 09:40:56.089+02:00,2026-07-01 09:41:05.823+02:00,4,1,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1
104,4,informativo,background,,sublime_text.exe,C:\Program Files\Sublime Text\sublime_text.exe,"""C:\Program Files\Sublime Text\sublime_text.exe"" ",C:\Windows\explorer.exe,labwin\jjstestal,4,+4 palabras clave de interés forense,guid:{55857b6a-c3fc-6a44-8701-000000000c00},{55857b6a-c3fc-6a44-8701-000000000c00},10320,explorer.exe,fase4_suspicious_simulated,2026-07-01 09:38:36.868+02:00,2026-07-01 09:40:46.487+02:00,3,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1
105,4,informativo,background,S1;S2,wmiprvse.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,C:\WINDOWS\system32\wbem\wmiprvse.exe -secured -Embedding,-,NT AUTHORITY\Servicio de red,3,+4 palabras clave de interés forense,guid:{55857b6a-c294-6a44-3701-000000000c00},{55857b6a-c294-6a44-3701-000000000c00},4544,-,fase4_suspicious_simulated,2026-07-01 09:32:36.997+02:00,2026-07-01 09:34:55.969+02:00,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1
106,4,informativo,normal,,explorer.exe,C:\WINDOWS\Explorer.EXE,,,labwin\jjstestal,2,+4 palabras clave de interés forense,guid:{55857b6a-a5aa-6a43-2001-000000000b00},{55857b6a-a5aa-6a43-2001-000000000b00},1744,,fase3_normal,2026-06-30 17:52:32.431+02:00,2026-06-30 17:52:32.437+02:00,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,4,informativo,normal,,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe,,,labwin\jjstestal,2,+4 palabras clave de interés forense,guid:{55857b6a-a5ae-6a43-5001-000000000b00},{55857b6a-a5ae-6a43-5001-000000000b00},8500,,fase3_normal,2026-06-30 17:56:20.499+02:00,2026-06-30 17:56:20.503+02:00,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
