rank,baseline_score,risk_level,label,scenario_ids,process_name,image,command_line,parent_image,user,event_count,main_reasons,process_key,process_guid,process_id,parent_name,phase,first_seen,last_seen,unique_event_ids,event_id_1_process_create,event_id_3_network,event_id_5_process_terminate,event_id_7_image_load,event_id_11_file_create,event_id_12_registry_create,event_id_13_registry_set,event_id_14_registry_rename,event_id_22_dns,has_network_connection,network_connection_count,dns_query_count,file_creation_count,registry_event_count,destination_ip_count,external_destination_count,runs_from_temp,runs_from_user_profile,has_powershell,has_encoded_command,has_registry_run,has_scheduled_task,has_service_creation,has_startup_folder,is_lolbin,rare_parent_child,commandline_length_max,suspicious_keyword_count
46,18,informativo,normal,,mpdefendercoreservice.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpDefenderCoreService.exe,,,NT AUTHORITY\SYSTEM,3,+10 conexión de red asociada al proceso; +8 destinos de red externos,guid:{55857b6a-a217-6a43-4300-000000000b00},{55857b6a-a217-6a43-4300-000000000b00},3296,,fase3_normal,2026-06-30 17:52:45.254+02:00,2026-06-30 17:58:57.608+02:00,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47,18,informativo,background,S5,msmpeng.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MsMpEng.exe,,,NT AUTHORITY\SYSTEM,3,+10 conexión de red asociada al proceso; +8 destinos de red externos,guid:{55857b6a-c0f6-6a44-4600-000000000c00},{55857b6a-c0f6-6a44-4600-000000000c00},3468,,fase4_suspicious_simulated,2026-07-01 09:39:55.954+02:00,2026-07-01 09:39:55.992+02:00,2,0,2,0,0,0,0,0,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48,18,informativo,background,S2,svchost.exe,C:\Windows\System32\svchost.exe,,,NT AUTHORITY\SERVICIO LOCAL,2,+10 conexión de red asociada al proceso; +8 destinos de red externos,guid:{55857b6a-c123-6a44-e300-000000000c00},{55857b6a-c123-6a44-e300-000000000c00},15312,,fase4_suspicious_simulated,2026-07-01 09:33:29.391+02:00,2026-07-01 09:33:31.675+02:00,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
49,18,informativo,background,S2,svchost.exe,C:\Windows\System32\svchost.exe,,,NT AUTHORITY\SYSTEM,16,+10 conexión de red asociada al proceso; +8 destinos de red externos,guid:{55857b6a-c0f6-6a44-3e00-000000000c00},{55857b6a-c0f6-6a44-3e00-000000000c00},3324,,fase4_suspicious_simulated,2026-07-01 09:33:28.642+02:00,2026-07-01 09:43:17.161+02:00,2,0,11,0,0,0,0,0,0,5,1,11,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
50,15,informativo,background,,firefox.exe,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc -parentBuildID 20260624221428 -prefsHandle 2464:26977 -prefMapHandle 2476:294749 -ipcHandle 2488 -initialChannelId {b4d71b3b-0176-4335-a5ef-32e99a62869d} -parentPid 8916 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.8916"" -crashHelperPid 0 -crashHelper 2500 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 1 socket",C:\Program Files\Mozilla Firefox\firefox.exe,labwin\jjstestal,4,+10 conexión de red asociada al proceso; +5 línea de comandos larga,guid:{55857b6a-c2ce-6a44-5a01-000000000c00},{55857b6a-c2ce-6a44-5a01-000000000c00},4280,firefox.exe,fase4_suspicious_simulated,2026-07-01 09:33:34.293+02:00,2026-07-01 09:33:36.756+02:00,3,1,2,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,400,0
51,14,informativo,background,S2,rundll32.exe,C:\Windows\System32\rundll32.exe,"""C:\WINDOWS\system32\rundll32.exe"" C:\WINDOWS\system32\PcaSvc.dll,PcaPatchSdbTask",-,NT AUTHORITY\SYSTEM,2,+8 uso de binario legítimo de administración o LOLBin; +6 relación padre-hijo poco frecuente en el dataset,guid:{55857b6a-c2c5-6a44-4001-000000000c00},{55857b6a-c2c5-6a44-4001-000000000c00},6008,-,fase4_suspicious_simulated,2026-07-01 09:33:25.333+02:00,2026-07-01 09:33:25.377+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,81,0
52,12,informativo,normal,N3,cmd.exe,C:\Windows\System32\cmd.exe,"""C:\WINDOWS\system32\cmd.exe"" /c whoami",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,2,+8 uso de binario legítimo de administración o LOLBin; +4 palabras clave de interés forense,guid:{55857b6a-e6c8-6a43-4704-000000000b00},{55857b6a-e6c8-6a43-4704-000000000b00},12380,powershell.exe,fase3_normal,2026-06-30 17:54:48.808+02:00,2026-06-30 17:54:48.833+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,39,1
53,12,informativo,normal,N3,cmd.exe,C:\Windows\System32\cmd.exe,"""C:\WINDOWS\system32\cmd.exe"" /c ipconfig /all",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,2,+8 uso de binario legítimo de administración o LOLBin; +4 palabras clave de interés forense,guid:{55857b6a-e6c8-6a43-4904-000000000b00},{55857b6a-e6c8-6a43-4904-000000000b00},4268,powershell.exe,fase3_normal,2026-06-30 17:54:48.850+02:00,2026-06-30 17:54:48.876+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,46,1
54,12,informativo,normal,N3,cmd.exe,C:\Windows\System32\cmd.exe,"""C:\WINDOWS\system32\cmd.exe"" /c tasklist",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,2,+8 uso de binario legítimo de administración o LOLBin; +4 palabras clave de interés forense,guid:{55857b6a-e6c8-6a43-4b04-000000000b00},{55857b6a-e6c8-6a43-4b04-000000000b00},3680,powershell.exe,fase3_normal,2026-06-30 17:54:48.891+02:00,2026-06-30 17:54:49.014+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,41,1
55,12,informativo,normal,N3,cmd.exe,C:\Windows\System32\cmd.exe,"""C:\WINDOWS\system32\cmd.exe"" /c schtasks /query /fo LIST",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,2,+8 uso de binario legítimo de administración o LOLBin; +4 palabras clave de interés forense,guid:{55857b6a-e6c9-6a43-4e04-000000000b00},{55857b6a-e6c9-6a43-4e04-000000000b00},5572,powershell.exe,fase3_normal,2026-06-30 17:54:49.030+02:00,2026-06-30 17:54:49.671+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,57,2
