ml_rank,ml_anomaly_score,ml_decision_function,label,scenario_ids,process_name,image,command_line,parent_image,event_count,has_encoded_command,has_registry_run,has_scheduled_task,has_service_creation,has_startup_folder,runs_from_temp,has_network_connection,external_destination_count,suspicious_keyword_count,process_key,process_guid,process_id,user,parent_name,phase,first_seen,last_seen,unique_event_ids,event_id_1_process_create,event_id_3_network,event_id_5_process_terminate,event_id_7_image_load,event_id_11_file_create,event_id_12_registry_create,event_id_13_registry_set,event_id_14_registry_rename,event_id_22_dns,network_connection_count,dns_query_count,file_creation_count,registry_event_count,destination_ip_count,runs_from_user_profile,has_powershell,is_lolbin,rare_parent_child,commandline_length_max
41,-0.03151776279197649,0.03151776279197649,background,,firefox.exe,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc -parentBuildID 20260624221428 -prefsHandle 2464:26977 -prefMapHandle 2476:294749 -ipcHandle 2488 -initialChannelId {b4d71b3b-0176-4335-a5ef-32e99a62869d} -parentPid 8916 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.8916"" -crashHelperPid 0 -crashHelper 2500 -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 1 socket",C:\Program Files\Mozilla Firefox\firefox.exe,4,0,0,0,0,0,0,1,0,0,guid:{55857b6a-c2ce-6a44-5a01-000000000c00},{55857b6a-c2ce-6a44-5a01-000000000c00},4280,labwin\jjstestal,firefox.exe,fase4_suspicious_simulated,2026-07-01 09:33:34.293+02:00,2026-07-01 09:33:36.756+02:00,3,1,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,400
42,-0.03826922745983241,0.03826922745983241,background,,sublime_text.exe,C:\Program Files\Sublime Text\sublime_text.exe,"""C:\Program Files\Sublime Text\sublime_text.exe"" ",C:\Windows\explorer.exe,5,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c35d-6a44-7301-000000000c00},{55857b6a-c35d-6a44-7301-000000000c00},5380,labwin\jjstestal,explorer.exe,fase4_suspicious_simulated,2026-07-01 09:35:57.630+02:00,2026-07-01 09:37:39.732+02:00,4,1,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,49
43,-0.038816367596303136,0.038816367596303136,background,,pickerhost.exe,C:\Windows\System32\PickerHost.exe,C:\Windows\System32\PickerHost.exe -Embedding,-,5,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c3a8-6a44-8101-000000000c00},{55857b6a-c3a8-6a44-8101-000000000c00},1196,labwin\jjstestal,-,fase4_suspicious_simulated,2026-07-01 09:37:12.734+02:00,2026-07-01 09:37:23.915+02:00,4,1,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,45
44,-0.038816367596303136,0.038816367596303136,background,,pickerhost.exe,C:\Windows\System32\PickerHost.exe,C:\Windows\System32\PickerHost.exe -Embedding,-,5,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c41f-6a44-8d01-000000000c00},{55857b6a-c41f-6a44-8d01-000000000c00},14880,labwin\jjstestal,-,fase4_suspicious_simulated,2026-07-01 09:39:11.815+02:00,2026-07-01 09:39:23.334+02:00,4,1,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,45
45,-0.038816367596303136,0.038816367596303136,background,,pickerhost.exe,C:\Windows\System32\PickerHost.exe,C:\Windows\System32\PickerHost.exe -Embedding,-,5,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c488-6a44-9f01-000000000c00},{55857b6a-c488-6a44-9f01-000000000c00},14040,labwin\jjstestal,-,fase4_suspicious_simulated,2026-07-01 09:40:56.089+02:00,2026-07-01 09:41:05.823+02:00,4,1,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,45
46,-0.045167306993234124,0.045167306993234124,background,,sublime_text.exe,C:\Program Files\Sublime Text\sublime_text.exe,"""C:\Program Files\Sublime Text\sublime_text.exe"" ",C:\Windows\explorer.exe,4,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c3fc-6a44-8701-000000000c00},{55857b6a-c3fc-6a44-8701-000000000c00},10320,labwin\jjstestal,explorer.exe,fase4_suspicious_simulated,2026-07-01 09:38:36.868+02:00,2026-07-01 09:40:46.487+02:00,3,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,49
47,-0.060143792783018235,0.060143792783018235,background,,widgetboard.exe,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy\WidgetBoard.exe,,,6,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c0f9-6a44-7d00-000000000c00},{55857b6a-c0f9-6a44-7d00-000000000c00},5856,labwin\jjstestal,,fase4_suspicious_simulated,2026-07-01 09:32:48.423+02:00,2026-07-01 09:32:48.434+02:00,1,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0
48,-0.06278606597178465,0.06278606597178465,normal,N4,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command ""Get-Process | Select-Object -First 10""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,5,0,0,0,0,1,1,0,0,4,guid:{55857b6a-e6e1-6a43-5104-000000000b00},{55857b6a-e6e1-6a43-5104-000000000b00},3768,labwin\jjstestal,powershell.exe,fase3_normal,2026-06-30 17:55:13.765+02:00,2026-06-30 17:55:14.523+02:00,3,1,0,1,0,3,0,0,0,0,0,0,3,0,0,0,1,1,0,119
49,-0.06278606597178465,0.06278606597178465,normal,N4,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command ""Get-Service | Select-Object -First 10""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,5,0,0,0,0,1,1,0,0,4,guid:{55857b6a-e6e2-6a43-5204-000000000b00},{55857b6a-e6e2-6a43-5204-000000000b00},6516,labwin\jjstestal,powershell.exe,fase3_normal,2026-06-30 17:55:14.547+02:00,2026-06-30 17:55:15.249+02:00,3,1,0,1,0,3,0,0,0,0,0,0,3,0,0,0,1,1,0,119
50,-0.06710512232339333,0.06710512232339333,normal,,searchprotocolhost.exe,C:\Windows\System32\SearchProtocolHost.exe,"""C:\WINDOWS\System32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe13_ Global\UsGthrCtrlFltPipeMssGthrPipe13 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" ",C:\Windows\System32\SearchIndexer.exe,2,0,0,0,0,0,1,0,0,1,guid:{55857b6a-e626-6a43-3b04-000000000b00},{55857b6a-e626-6a43-3b04-000000000b00},13328,NT AUTHORITY\SYSTEM,searchindexer.exe,fase3_normal,2026-06-30 17:52:06.408+02:00,2026-06-30 17:54:53.582+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310
51,-0.06920589058624232,0.06920589058624232,background,,searchprotocolhost.exe,C:\Windows\System32\SearchProtocolHost.exe,"""C:\WINDOWS\System32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe2_ Global\UsGthrCtrlFltPipeMssGthrPipe2 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" ",C:\Windows\System32\SearchIndexer.exe,2,0,0,0,0,0,1,0,0,1,guid:{55857b6a-c3a3-6a44-7e01-000000000c00},{55857b6a-c3a3-6a44-7e01-000000000c00},11224,NT AUTHORITY\SYSTEM,searchindexer.exe,fase4_suspicious_simulated,2026-07-01 09:37:07.225+02:00,2026-07-01 09:44:00.138+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308
52,-0.0755164062798388,0.0755164062798388,suspicious_simulated,S3,reg.exe,C:\Windows\System32\reg.exe,"""C:\WINDOWS\system32\reg.exe"" add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v TFMTest /t REG_SZ /d C:\Windows\System32\notepad.exe /f",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,4,0,1,0,0,0,0,0,0,3,guid:{55857b6a-c2d6-6a44-5c01-000000000c00},{55857b6a-c2d6-6a44-5c01-000000000c00},9176,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:33:42.269+02:00,2026-07-01 09:33:42.276+02:00,4,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,143
53,-0.0755164062798388,0.0755164062798388,suspicious_simulated,S3,reg.exe,C:\Windows\System32\reg.exe,"""C:\WINDOWS\system32\reg.exe"" add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v TFMTest /t REG_SZ /d C:\Windows\System32\notepad.exe /f",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,4,0,1,0,0,0,0,0,0,3,guid:{55857b6a-c334-6a44-6501-000000000c00},{55857b6a-c334-6a44-6501-000000000c00},15940,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:35:16.547+02:00,2026-07-01 09:35:16.551+02:00,4,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,143
54,-0.0829834903460408,0.0829834903460408,background,S2,wermgr.exe,C:\Windows\System32\wermgr.exe,"""C:\WINDOWS\system32\wermgr.exe"" -upload",-,4,0,0,0,0,0,1,0,0,1,guid:{55857b6a-c2c5-6a44-3901-000000000c00},{55857b6a-c2c5-6a44-3901-000000000c00},5372,NT AUTHORITY\SYSTEM,-,fase4_suspicious_simulated,2026-07-01 09:33:25.319+02:00,2026-07-01 09:33:25.368+02:00,3,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,40
55,-0.09160641524893137,0.09160641524893137,background,S2,crashhelper.exe,C:\Program Files\Mozilla Firefox\crashhelper.exe,"""C:\Program Files\Mozilla Firefox\crashhelper.exe"" ""8916"" ""\\.\pipe\gecko-crash-server-pipe.8916"" ""C:\Users\JJSTES~1\AppData\Local\Temp\\"" ""784"" ""796"" ""812""",C:\Program Files\Mozilla Firefox\firefox.exe,2,0,0,0,0,0,1,0,0,2,guid:{55857b6a-c2c5-6a44-4501-000000000c00},{55857b6a-c2c5-6a44-4501-000000000c00},6404,labwin\jjstestal,firefox.exe,fase4_suspicious_simulated,2026-07-01 09:33:25.403+02:00,2026-07-01 09:33:36.781+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,156
56,-0.09655493366805801,0.09655493366805801,background,,taskhostw.exe,C:\Windows\System32\taskhostw.exe,taskhostw.exe,-,3,0,0,0,0,0,0,0,0,0,guid:{55857b6a-c303-6a44-6301-000000000c00},{55857b6a-c303-6a44-6301-000000000c00},2964,NT AUTHORITY\SYSTEM,-,fase4_suspicious_simulated,2026-07-01 09:34:27.946+02:00,2026-07-01 09:34:30.326+02:00,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13
57,-0.09655493366805801,0.09655493366805801,background,,taskhostw.exe,C:\Windows\System32\taskhostw.exe,taskhostw.exe,-,3,0,0,0,0,0,0,0,0,0,guid:{55857b6a-c47d-6a44-9a01-000000000c00},{55857b6a-c47d-6a44-9a01-000000000c00},14608,NT AUTHORITY\SYSTEM,-,fase4_suspicious_simulated,2026-07-01 09:40:45.571+02:00,2026-07-01 09:40:48.121+02:00,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13
58,-0.09781451700221672,0.09781451700221672,background,S2,svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s BITS,-,3,0,0,0,0,0,0,0,0,0,guid:{55857b6a-c2c5-6a44-4b01-000000000c00},{55857b6a-c2c5-6a44-4b01-000000000c00},13360,NT AUTHORITY\SYSTEM,-,fase4_suspicious_simulated,2026-07-01 09:33:25.845+02:00,2026-07-01 09:35:30.071+02:00,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,53
59,-0.09914030844843696,0.09914030844843696,background,S2,svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s PushToInstall,-,3,0,0,0,0,0,0,0,0,0,guid:{55857b6a-c2c5-6a44-4401-000000000c00},{55857b6a-c2c5-6a44-4401-000000000c00},8004,NT AUTHORITY\SYSTEM,-,fase4_suspicious_simulated,2026-07-01 09:33:25.367+02:00,2026-07-01 09:33:30.694+02:00,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,62
60,-0.10220390221808057,0.10220390221808057,background,,snippingtool.exe,C:\Program Files\WindowsApps\microsoft.screensketch_11.2510.31.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe,"""C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2510.31.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe"" ",C:\Windows\explorer.exe,5,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c412-6a44-8b01-000000000c00},{55857b6a-c412-6a44-8b01-000000000c00},3068,labwin\jjstestal,explorer.exe,fase4_suspicious_simulated,2026-07-01 09:38:58.531+02:00,2026-07-01 09:41:05.818+02:00,2,1,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,116
61,-0.10582860477598899,0.10582860477598899,suspicious_simulated,S3,reg.exe,C:\Windows\System32\reg.exe,"""C:\WINDOWS\system32\reg.exe"" delete HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v TFMTest /f",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,3,0,1,0,0,0,0,0,0,3,guid:{55857b6a-c2d8-6a44-5d01-000000000c00},{55857b6a-c2d8-6a44-5d01-000000000c00},8008,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:33:44.512+02:00,2026-07-01 09:33:44.517+02:00,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,101
62,-0.10582860477598899,0.10582860477598899,suspicious_simulated,S3,reg.exe,C:\Windows\System32\reg.exe,"""C:\WINDOWS\system32\reg.exe"" delete HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v TFMTest /f",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,3,0,1,0,0,0,0,0,0,3,guid:{55857b6a-c336-6a44-6701-000000000c00},{55857b6a-c336-6a44-6701-000000000c00},12552,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:35:18.600+02:00,2026-07-01 09:35:18.604+02:00,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,101
63,-0.10957545324513884,0.10957545324513884,normal,,explorer.exe,C:\WINDOWS\Explorer.EXE,,,2,0,0,0,0,0,0,0,0,1,guid:{55857b6a-a5aa-6a43-2001-000000000b00},{55857b6a-a5aa-6a43-2001-000000000b00},1744,labwin\jjstestal,,fase3_normal,2026-06-30 17:52:32.431+02:00,2026-06-30 17:52:32.437+02:00,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
64,-0.10957545324513884,0.10957545324513884,normal,,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe,,,2,0,0,0,0,0,0,0,0,1,guid:{55857b6a-a5ae-6a43-5001-000000000b00},{55857b6a-a5ae-6a43-5001-000000000b00},8500,labwin\jjstestal,,fase3_normal,2026-06-30 17:56:20.499+02:00,2026-06-30 17:56:20.503+02:00,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
65,-0.11115845090518811,0.11115845090518811,suspicious_simulated,S5,sc.exe,C:\Windows\System32\sc.exe,"""C:\WINDOWS\system32\sc.exe"" create TFMTestService binPath= ""C:\Windows\System32\cmd.exe /c echo TFMTestService"" start= demand",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,0,0,0,1,0,0,0,0,4,guid:{55857b6a-c449-6a44-8e01-000000000c00},{55857b6a-c449-6a44-8e01-000000000c00},13548,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:39:53.388+02:00,2026-07-01 09:39:53.397+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,126
66,-0.11130621952528064,0.11130621952528064,background,,crash_handler.exe,C:\Program Files\Sublime Text\crash_handler.exe,"""C:\Program Files\Sublime Text\crash_handler.exe"" --no-rate-limit ""--database=C:\Users\jjstestal\AppData\Local\Sublime Text\Crash Reports"" ""--metrics-dir=C:\Users\jjstestal\AppData\Local\Sublime Text\Crash Reports"" --url=https://crash-server.sublimehq.com/api/upload --annotation=hash=9153973254676204383 --annotation=ident=sublime_text_4200 --initial-client-data=0x340,0x344,0x348,0x31c,0x34c,0x7ff7837f4738,0x7ff7837f4744,0x7ff7837f4750",C:\Program Files\Sublime Text\sublime_text.exe,1,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c3fc-6a44-8801-000000000c00},{55857b6a-c3fc-6a44-8801-000000000c00},7948,labwin\jjstestal,sublime_text.exe,fase4_suspicious_simulated,2026-07-01 09:38:36.940+02:00,2026-07-01 09:38:36.940+02:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,438
67,-0.11420882907187768,0.11420882907187768,normal,,snippingtool.exe,C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2510.31.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe,,,1,0,0,0,0,0,0,0,0,0,guid:{55857b6a-e5bf-6a43-3504-000000000b00},{55857b6a-e5bf-6a43-3504-000000000b00},11720,labwin\jjstestal,,fase3_normal,2026-06-30 17:52:32.458+02:00,2026-06-30 17:52:32.458+02:00,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68,-0.11637313281647332,0.11637313281647332,background,,plugin_host-3.8.exe,C:\Program Files\Sublime Text\plugin_host-3.8.exe,"""/C/Program Files/Sublime Text/plugin_host-3.8.exe"" 10320 ""/C/Program Files/Sublime Text/sublime_text.exe"" \\.\pipe\crashpad_10320_POIAYICSQZQSKOIJ false ""/C/Users/jjstestal/AppData/Roaming/Sublime Text"" ""/C/Users/jjstestal/AppData/Local/Sublime Text"" ""/C/Program Files/Sublime Text/Packages""",C:\Program Files\Sublime Text\sublime_text.exe,1,0,0,0,0,0,0,0,0,0,guid:{55857b6a-c3fd-6a44-8a01-000000000c00},{55857b6a-c3fd-6a44-8a01-000000000c00},11792,labwin\jjstestal,sublime_text.exe,fase4_suspicious_simulated,2026-07-01 09:38:37.566+02:00,2026-07-01 09:38:37.566+02:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292
69,-0.11662375569801764,0.11662375569801764,background,S2,svchost.exe,C:\WINDOWS\system32\svchost.exe,,,1,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c0f6-6a44-4500-000000000c00},{55857b6a-c0f6-6a44-4500-000000000c00},3452,NT AUTHORITY\SYSTEM,,fase4_suspicious_simulated,2026-07-01 09:33:25.387+02:00,2026-07-01 09:33:25.387+02:00,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,-0.11756162854342872,0.11756162854342872,background,,plugin_host-3.3.exe,C:\Program Files\Sublime Text\plugin_host-3.3.exe,"""/C/Program Files/Sublime Text/plugin_host-3.3.exe"" 10320 ""/C/Program Files/Sublime Text/sublime_text.exe"" \\.\pipe\crashpad_10320_POIAYICSQZQSKOIJ ""/C/Users/jjstestal/AppData/Roaming/Sublime Text"" ""/C/Users/jjstestal/AppData/Local/Sublime Text"" ""/C/Program Files/Sublime Text/Packages""",C:\Program Files\Sublime Text\sublime_text.exe,1,0,0,0,0,0,0,0,0,0,guid:{55857b6a-c3fd-6a44-8901-000000000c00},{55857b6a-c3fd-6a44-8901-000000000c00},13596,labwin\jjstestal,sublime_text.exe,fase4_suspicious_simulated,2026-07-01 09:38:37.523+02:00,2026-07-01 09:38:37.523+02:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286
71,-0.12165213053738894,0.12165213053738894,suspicious_simulated,S5,sc.exe,C:\Windows\System32\sc.exe,"""C:\WINDOWS\system32\sc.exe"" delete TFMTestService",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,0,0,0,1,0,0,0,0,4,guid:{55857b6a-c44b-6a44-9001-000000000c00},{55857b6a-c44b-6a44-9001-000000000c00},12848,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:39:55.452+02:00,2026-07-01 09:39:55.457+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,50
72,-0.1222067007630585,0.1222067007630585,suspicious_simulated,S5,sc.exe,C:\Windows\System32\sc.exe,"""C:\WINDOWS\system32\sc.exe"" query TFMTestService",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,0,0,0,1,0,0,0,0,4,guid:{55857b6a-c449-6a44-8f01-000000000c00},{55857b6a-c449-6a44-8f01-000000000c00},6544,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:39:53.415+02:00,2026-07-01 09:39:53.419+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,49
73,-0.1232332114357555,0.1232332114357555,suspicious_simulated,S3,reg.exe,C:\Windows\System32\reg.exe,"""C:\WINDOWS\system32\reg.exe"" query HKCU\Software\Microsoft\Windows\CurrentVersion\Run",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,0,1,0,0,0,0,0,0,2,guid:{55857b6a-c334-6a44-6601-000000000c00},{55857b6a-c334-6a44-6601-000000000c00},6224,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:35:16.579+02:00,2026-07-01 09:35:16.584+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,86
74,-0.12721480927544931,0.12721480927544931,normal,N3,cmd.exe,C:\Windows\System32\cmd.exe,"""C:\WINDOWS\system32\cmd.exe"" /c schtasks /query /fo LIST",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,0,0,0,0,0,0,0,0,2,guid:{55857b6a-e6c9-6a43-4e04-000000000b00},{55857b6a-e6c9-6a43-4e04-000000000b00},5572,labwin\jjstestal,powershell.exe,fase3_normal,2026-06-30 17:54:49.030+02:00,2026-06-30 17:54:49.671+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,57
75,-0.12845608373190925,0.12845608373190925,background,,snippingtool.exe,C:\Program Files\WindowsApps\microsoft.screensketch_11.2510.31.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe,"""C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2510.31.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe"" ",C:\Windows\explorer.exe,5,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c379-6a44-7c01-000000000c00},{55857b6a-c379-6a44-7c01-000000000c00},15852,labwin\jjstestal,explorer.exe,fase4_suspicious_simulated,2026-07-01 09:36:25.437+02:00,2026-07-01 09:37:46.614+02:00,3,1,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,116
76,-0.12991255147906416,0.12991255147906416,background,S2,rundll32.exe,C:\Windows\System32\rundll32.exe,"""C:\WINDOWS\system32\rundll32.exe"" C:\WINDOWS\system32\PcaSvc.dll,PcaPatchSdbTask",-,2,0,0,0,0,0,0,0,0,0,guid:{55857b6a-c2c5-6a44-4001-000000000c00},{55857b6a-c2c5-6a44-4001-000000000c00},6008,NT AUTHORITY\SYSTEM,-,fase4_suspicious_simulated,2026-07-01 09:33:25.333+02:00,2026-07-01 09:33:25.377+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,81
77,-0.13411147781854976,0.13411147781854976,background,S2,firefox.exe,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" --MOZ_LOG sync,prependheader,timestamp,append,maxsize:1,Dump:5 --MOZ_LOG_FILE C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate.moz_log --backgroundtask backgroundupdate",-,2,0,0,0,0,0,0,0,0,0,guid:{55857b6a-c2c5-6a44-3a01-000000000c00},{55857b6a-c2c5-6a44-3a01-000000000c00},4532,labwin\jjstestal,-,fase4_suspicious_simulated,2026-07-01 09:33:25.321+02:00,2026-07-01 09:33:36.782+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,268
78,-0.1360728714540349,0.1360728714540349,normal,N1,calculatorapp.exe,C:\Program Files\WindowsApps\microsoft.windowscalculator_11.2508.4.0_x64__8wekyb3d8bbwe\CalculatorApp.exe,"""C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2508.4.0_x64__8wekyb3d8bbwe\CalculatorApp.exe""",C:\Windows\System32\sihost.exe,4,0,0,0,0,0,0,0,0,1,guid:{55857b6a-e684-6a43-4304-000000000b00},{55857b6a-e684-6a43-4304-000000000b00},13276,labwin\jjstestal,sihost.exe,fase3_normal,2026-06-30 17:53:40.246+02:00,2026-06-30 17:53:47.139+02:00,3,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,107
79,-0.1375318093836962,0.1375318093836962,background,S2,updater.exe,C:\Program Files\Mozilla Firefox\updater.exe,"""C:\Program Files\Mozilla Firefox\updater.exe"" 3 C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\updates\0 ""C:\Program Files\Mozilla Firefox"" ""C:\Program Files\Mozilla Firefox\updated"" first -1",C:\Program Files\Mozilla Firefox\firefox.exe,2,0,0,0,0,0,0,0,0,0,guid:{55857b6a-c2ca-6a44-5701-000000000c00},{55857b6a-c2ca-6a44-5701-000000000c00},13692,labwin\jjstestal,firefox.exe,fase4_suspicious_simulated,2026-07-01 09:33:30.029+02:00,2026-07-01 09:33:34.041+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,230
80,-0.1375318093836962,0.1375318093836962,background,S2,updater.exe,C:\Program Files (x86)\Mozilla Maintenance Service\update\updater.exe,"""C:\Program Files\Mozilla Firefox\updater.exe"" 3 C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\updates\0 ""C:\Program Files\Mozilla Firefox"" ""C:\Program Files\Mozilla Firefox\updated"" second -1",C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe,2,0,0,0,0,0,0,0,0,0,guid:{55857b6a-c2ca-6a44-5901-000000000c00},{55857b6a-c2ca-6a44-5901-000000000c00},11064,NT AUTHORITY\SYSTEM,maintenanceservice.exe,fase4_suspicious_simulated,2026-07-01 09:33:30.430+02:00,2026-07-01 09:33:33.943+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231
