ml_rank,ml_anomaly_score,ml_decision_function,label,scenario_ids,process_name,image,command_line,parent_image,event_count,has_encoded_command,has_registry_run,has_scheduled_task,has_service_creation,has_startup_folder,runs_from_temp,has_network_connection,external_destination_count,suspicious_keyword_count,process_key,process_guid,process_id,user,parent_name,phase,first_seen,last_seen,unique_event_ids,event_id_1_process_create,event_id_3_network,event_id_5_process_terminate,event_id_7_image_load,event_id_11_file_create,event_id_12_registry_create,event_id_13_registry_set,event_id_14_registry_rename,event_id_22_dns,network_connection_count,dns_query_count,file_creation_count,registry_event_count,destination_ip_count,runs_from_user_profile,has_powershell,is_lolbin,rare_parent_child,commandline_length_max
11,0.08203953217930593,-0.08203953217930593,normal,N5,svchost.exe,C:\Windows\System32\svchost.exe,,,20,0,0,0,0,0,0,1,0,0,guid:{55857b6a-a216-6a43-2d00-000000000b00},{55857b6a-a216-6a43-2d00-000000000b00},2272,NT AUTHORITY\Servicio de red,,fase3_normal,2026-06-30 17:54:02.974+02:00,2026-06-30 17:55:34.959+02:00,1,0,20,0,0,0,0,0,0,0,20,0,0,0,2,0,0,0,0,0
12,0.07686998799470257,-0.07686998799470257,background,S2,maintenanceservice.exe,C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe,"""C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe""",-,12,0,0,0,0,0,0,1,1,1,guid:{55857b6a-c2ca-6a44-5801-000000000c00},{55857b6a-c2ca-6a44-5801-000000000c00},7540,NT AUTHORITY\SYSTEM,-,fase4_suspicious_simulated,2026-07-01 09:33:30.055+02:00,2026-07-01 09:33:33.954+02:00,5,1,1,1,0,8,0,0,0,1,1,1,8,0,1,0,0,0,1,75
13,0.053849652672074866,-0.053849652672074866,background,S5,msmpeng.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MsMpEng.exe,,,3,0,0,0,0,0,0,1,1,0,guid:{55857b6a-c0f6-6a44-4600-000000000c00},{55857b6a-c0f6-6a44-4600-000000000c00},3468,NT AUTHORITY\SYSTEM,,fase4_suspicious_simulated,2026-07-01 09:39:55.954+02:00,2026-07-01 09:39:55.992+02:00,2,0,2,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0
14,0.04506358971408997,-0.04506358971408997,background,S2;S5;S7,sysmon64.exe,C:\Windows\Sysmon64.exe,,,30,0,0,0,0,0,0,0,0,0,guid:{55857b6a-c0f6-6a44-4400-000000000c00},{55857b6a-c0f6-6a44-4400-000000000c00},3444,NT AUTHORITY\SYSTEM,,fase4_suspicious_simulated,2026-07-01 09:33:29.657+02:00,2026-07-01 09:44:12.215+02:00,1,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0
15,0.03785206123173346,-0.03785206123173346,suspicious_simulated,S2,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -EncodedCommand VwByAGkAdABlAC0ATwB1AHQAcAB1AHQAIAAiAFQARgBNACAARgBhAHMAZQAgADQAIABwAHIAdQBlAGIAYQAgAGIAZQBuAGkAZwBuAGEAIABlAG4AYwBvAGQAZQBkACAAYwBvAG0AbQBhAG4AZAAiACAAfAAgAE8AdQB0AC0ARgBpAGwAZQAgAEMAOgBcAFQARgBNAF8AVAByAGkAYQBnAGUAXAByAGUAcABvAHIAdABzAFwAZgBhAHMAZQA0AF8AUwAyAF8AZQBuAGMAbwBkAGUAZABfAG8AdQB0AHAAdQB0AC4AdAB4AHQA",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6,1,0,0,0,1,1,0,0,6,guid:{55857b6a-c2c6-6a44-5201-000000000c00},{55857b6a-c2c6-6a44-5201-000000000c00},10324,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:33:26.561+02:00,2026-07-01 09:33:27.277+02:00,3,1,0,1,0,4,0,0,0,0,0,0,4,0,0,0,1,1,0,399
16,0.022860701389292526,-0.022860701389292526,background,S2,softlandingtask.exe,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SoftLandingTask\SoftLandingTask.exe,"""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SoftLandingTask\SoftLandingTask.exe"" -Embedding",-,4,0,0,0,0,0,0,1,1,0,guid:{55857b6a-c2c5-6a44-4701-000000000c00},{55857b6a-c2c5-6a44-4701-000000000c00},13616,labwin\jjstestal,-,fase4_suspicious_simulated,2026-07-01 09:33:25.445+02:00,2026-07-01 09:34:25.572+02:00,4,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,112
17,0.020357876608610215,-0.020357876608610215,background,,<unknown process>,<unknown process>,,,3,0,0,0,0,0,0,1,3,0,guid:{00000000-0000-0000-0000-000000000000},{00000000-0000-0000-0000-000000000000},2964,-,,fase4_suspicious_simulated,2026-07-01 09:34:31.619+02:00,2026-07-01 09:44:11.061+02:00,1,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
18,0.017942784333278228,-0.017942784333278228,background,,taskhostw.exe,C:\Windows\System32\taskhostw.exe,taskhostw.exe,-,5,0,0,0,0,0,0,1,1,0,guid:{55857b6a-c547-6a44-a201-000000000c00},{55857b6a-c547-6a44-a201-000000000c00},9500,NT AUTHORITY\SYSTEM,-,fase4_suspicious_simulated,2026-07-01 09:44:07.435+02:00,2026-07-01 09:44:11.326+02:00,4,1,2,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,13
19,0.01618937879784621,-0.01618937879784621,background,,mousocoreworker.exe,C:\Windows\UUS\amd64\MoUsoCoreWorker.exe,"""C:\WINDOWS\uus\AMD64\MoUsoCoreWorker.exe"" useprivatenamespaces",C:\Windows\System32\svchost.exe,5,0,0,0,0,0,0,1,1,0,guid:{55857b6a-c47a-6a44-9201-000000000c00},{55857b6a-c47a-6a44-9201-000000000c00},13468,NT AUTHORITY\SYSTEM,svchost.exe,fase4_suspicious_simulated,2026-07-01 09:40:42.250+02:00,2026-07-01 09:41:49.553+02:00,4,1,2,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,63
20,0.012107678449145287,-0.012107678449145287,background,,widgetservice.exe,C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.15.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe,,,34,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c0f9-6a44-8200-000000000c00},{55857b6a-c0f9-6a44-8200-000000000c00},6232,labwin\jjstestal,,fase4_suspicious_simulated,2026-07-01 09:32:48.374+02:00,2026-07-01 09:32:48.477+02:00,1,0,0,0,0,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0
