phase,source_file,record_number,event_id,provider,channel,computer,utc_system_time,local_time,level,task,opcode,keywords,RuleName,UtcTime,ProcessGuid,ProcessId,Image,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,User,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentImage,ParentCommandLine,ParentUser,Protocol,Initiated,SourceIp,SourceHostname,SourcePort,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName,QueryName,QueryStatus,QueryResults,TargetObject,Details,NewName,TargetFilename,CreationUtcTime,DestinationIsIpv6,EventType,ImageLoaded,Signature,SignatureStatus,Signed,SourceIsIpv6,SourcePortName
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,669,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:48.284517+00:00,2026-07-01 09:40:48.284+02:00,4,3,0,0x8000000000000000,-,2026-07-01 07:40:45.209,{55857b6a-c0f5-6a44-2d00-000000000c00},2264,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\Servicio de red,,,,,,,,,,,udp,True,10.0.2.15,labwin.XCORP.almendralejo.es,54284,10.100.15.20,astapor.corp.almendralejo.es,53,domain,,,,,,,,,False,,,,,,False,-
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,670,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:48.284546+00:00,2026-07-01 09:40:48.284+02:00,4,3,0,0x8000000000000000,-,2026-07-01 07:40:45.272,{55857b6a-c47a-6a44-9201-000000000c00},13468,C:\Windows\UUS\amd64\MoUsoCoreWorker.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,tcp,True,10.0.2.15,labwin.XCORP.almendralejo.es,64036,48.209.138.168,-,443,https,,,,,,,,,False,,,,,,False,-
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,671,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:48.284895+00:00,2026-07-01 09:40:48.284+02:00,4,3,0,0x8000000000000000,-,2026-07-01 07:40:45.272,{00000000-0000-0000-0000-000000000000},14608,<unknown process>,,,,,,,,-,,,,,,,,,,,tcp,True,10.0.2.15,labwin.XCORP.almendralejo.es,64035,48.209.138.168,-,443,https,,,,,,,,,False,,,,,,False,-
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,672,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:48.284912+00:00,2026-07-01 09:40:48.284+02:00,4,3,0,0x8000000000000000,-,2026-07-01 07:40:45.312,{55857b6a-c0f5-6a44-2d00-000000000c00},2264,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\Servicio de red,,,,,,,,,,,udp,False,10.0.2.15,labwin.XCORP.almendralejo.es,60819,10.100.15.20,astapor.corp.almendralejo.es,53,domain,,,,,,,,,False,,,,,,False,-
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,673,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:48.284925+00:00,2026-07-01 09:40:48.284+02:00,4,3,0,0x8000000000000000,-,2026-07-01 07:40:45.312,{55857b6a-c0f5-6a44-2d00-000000000c00},2264,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\Servicio de red,,,,,,,,,,,udp,False,10.0.2.15,labwin.XCORP.almendralejo.es,54284,10.100.15.20,astapor.corp.almendralejo.es,53,domain,,,,,,,,,False,,,,,,False,-
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,674,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:48.284939+00:00,2026-07-01 09:40:48.284+02:00,4,3,0,0x8000000000000000,-,2026-07-01 07:40:45.416,{55857b6a-c111-6a44-d900-000000000c00},14124,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,tcp,True,10.0.2.15,labwin.XCORP.almendralejo.es,64037,135.18.128.211,-,443,https,,,,,,,,,False,,,,,,False,-
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,675,1,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:48.482624+00:00,2026-07-01 09:40:48.482+02:00,4,1,0,0x8000000000000000,-,2026-07-01 07:40:48.481,{55857b6a-c480-6a44-9e01-000000000c00},5660,C:\Windows\System32\svchost.exe,10.0.26100.8521 (WinBuild.160101.0800),Host Process for Windows Services,Microsoft® Windows® Operating System,Microsoft Corporation,svchost.exe,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CaptureService,C:\WINDOWS\system32\,labwin\jjstestal,{55857b6a-c0f8-6a44-b504-060000000000},0x00000000000604b5,1,Medium,"SHA256=2178F1915F740CCE64040107CD489E9E1FF828A7EA29CD706BC46BA0FBAA69C4,IMPHASH=DE43BD45CC98C143357416C7519ECCFD",{00000000-0000-0000-0000-000000000000},928,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,676,5,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:48.563240+00:00,2026-07-01 09:40:48.563+02:00,4,5,0,0x8000000000000000,-,2026-07-01 07:40:48.562,{55857b6a-c480-6a44-9e01-000000000c00},5660,C:\Windows\System32\svchost.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,677,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:49.310152+00:00,2026-07-01 09:40:49.310+02:00,4,3,0,0x8000000000000000,-,2026-07-01 07:40:45.718,{55857b6a-c47a-6a44-9201-000000000c00},13468,C:\Windows\UUS\amd64\MoUsoCoreWorker.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,tcp,True,10.0.2.15,labwin.XCORP.almendralejo.es,64038,48.209.138.168,-,443,https,,,,,,,,,False,,,,,,False,-
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,678,22,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:50.148399+00:00,2026-07-01 09:40:50.148+02:00,4,22,0,0x8000000000000000,-,2026-07-01 07:40:47.177,{55857b6a-c111-6a44-d900-000000000c00},14124,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,tas02.cws.update.microsoft.com,0,type: 5 glb.tas02.cws-prod.dcat.dsp.mp.microsoft.com;type: 5 glb.cws.prod.dcat.dsp.trafficmanager.net;2603:1030:10:12::2fe;::ffff:135.233.95.135;,,,,,,,,,,,,,
